model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,description
WeightedEnsemble_L3,-52.785553282776,11.001625061035156,436.0279641151428,0.0008976459503173828,0.4525775909423828,3,True,15,001 basic features
RandomForestMSE_BAG_L2,-53.32959344160095,10.163476705551147,402.8871018886566,0.5957810878753662,26.302822828292847,2,True,12,001 basic features
ExtraTreesMSE_BAG_L2,-53.989669356586795,10.158701181411743,384.8563792705536,0.5910055637359619,8.27210021018982,2,True,14,001 basic features
LightGBM_BAG_L2,-54.902914858180985,9.81394076347351,401.0004634857178,0.2462451457977295,24.416184425354004,2,True,11,001 basic features
CatBoost_BAG_L2,-55.62899872176499,9.630121231079102,441.1339840888977,0.06242561340332031,64.54970502853394,2,True,13,001 basic features
LightGBMXT_BAG_L2,-60.13295273299888,13.349346399307251,431.07118368148804,3.7816507816314697,54.48690462112427,2,True,10,001 basic features
KNeighborsDist_BAG_L1,-84.12506123181602,0.10363578796386719,0.03360581398010254,0.10363578796386719,0.03360581398010254,1,True,2,001 basic features
WeightedEnsemble_L2,-84.12506123181602,0.10481381416320801,0.6108300685882568,0.0011780261993408203,0.5772242546081543,2,True,9,001 basic features
KNeighborsUnif_BAG_L1,-101.54619908446061,0.10375738143920898,0.04370856285095215,0.10375738143920898,0.04370856285095215,1,True,1,001 basic features
RandomForestMSE_BAG_L1,-116.54429428704391,0.5218296051025391,10.629471063613892,0.5218296051025391,10.629471063613892,1,True,5,001 basic features
ExtraTreesMSE_BAG_L1,-124.58805258915959,0.515608549118042,4.960294485092163,0.515608549118042,4.960294485092163,1,True,7,001 basic features
CatBoost_BAG_L1,-130.508827011041,0.10585498809814453,199.42011547088623,0.10585498809814453,199.42011547088623,1,True,6,001 basic features
LightGBM_BAG_L1,-131.054161598899,1.4214942455291748,29.304423332214355,1.4214942455291748,29.304423332214355,1,True,4,001 basic features
LightGBMXT_BAG_L1,-131.46090891834504,6.299829006195068,64.89418911933899,6.299829006195068,64.89418911933899,1,True,3,001 basic features
NeuralNetFastAI_BAG_L1,-138.91768937474825,0.49568605422973633,67.29847121238708,0.49568605422973633,67.29847121238708,1,True,8,001 basic features
