model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,description
WeightedEnsemble_L3,-30.337686490843712,15.769274234771729,559.6291117668152,0.0013136863708496094,0.41927385330200195,3,True,14,new features added
LightGBM_BAG_L2,-30.54420311983629,14.21593952178955,428.2811884880066,0.5554780960083008,28.091259002685547,2,True,11,new features added
CatBoost_BAG_L2,-31.08770851309625,13.813266277313232,470.9277911186218,0.15280485153198242,70.73786163330078,2,True,13,new features added
LightGBMXT_BAG_L2,-31.46434331779796,14.40054202079773,429.8594937324524,0.7400805950164795,29.669564247131348,2,True,10,new features added
RandomForestMSE_BAG_L2,-31.515715795837146,14.319597005844116,430.7111530303955,0.6591355800628662,30.521223545074463,2,True,12,new features added
WeightedEnsemble_L2,-32.19082176546677,12.40916919708252,350.62075304985046,0.0014307498931884766,0.6443688869476318,2,True,9,new features added
LightGBM_BAG_L1,-33.22330386513564,5.116869926452637,55.3711051940918,5.116869926452637,55.3711051940918,1,True,4,new features added
CatBoost_BAG_L1,-34.74025415038994,0.20255446434020996,209.71011018753052,0.20255446434020996,209.71011018753052,1,True,6,new features added
LightGBMXT_BAG_L1,-35.1225045152507,6.385617971420288,70.96102786064148,6.385617971420288,70.96102786064148,1,True,3,new features added
ExtraTreesMSE_BAG_L1,-37.9695247790059,0.5837111473083496,6.771391153335571,0.5837111473083496,6.771391153335571,1,True,7,new features added
RandomForestMSE_BAG_L1,-38.68073745703023,0.5988190174102783,13.906644821166992,0.5988190174102783,13.906644821166992,1,True,5,new features added
NeuralNetFastAI_BAG_L1,-78.27661254918321,0.5657124519348145,43.40386343002319,0.5657124519348145,43.40386343002319,1,True,8,new features added
KNeighborsDist_BAG_L1,-84.12506123181602,0.10387706756591797,0.0274960994720459,0.10387706756591797,0.0274960994720459,1,True,2,new features added
KNeighborsUnif_BAG_L1,-101.54619908446061,0.10329937934875488,0.03829073905944824,0.10329937934875488,0.03829073905944824,1,True,1,new features added
