model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,description
WeightedEnsemble_L3,-30.554655562394768,15.60735535621643,555.5287523269653,0.0013093948364257812,0.32911157608032227,3,True,14,scores with new features
LightGBM_BAG_L2,-30.728930885149015,14.20467472076416,422.49347376823425,0.2843458652496338,25.281530618667603,2,True,11,scores with new features
CatBoost_BAG_L2,-31.17845121244172,14.059995889663696,474.8826575279236,0.13966703414916992,77.67071437835693,2,True,13,scores with new features
LightGBMXT_BAG_L2,-31.997695966545237,14.5723876953125,425.4386537075043,0.6520588397979736,28.226710557937622,2,True,10,scores with new features
RandomForestMSE_BAG_L2,-32.13455742507246,14.529974222183228,424.02068519592285,0.6096453666687012,26.8087420463562,2,True,12,scores with new features
WeightedEnsemble_L2,-32.213505766365564,12.771408557891846,348.1232476234436,0.0012354850769042969,0.6943349838256836,2,True,9,scores with new features
LightGBM_BAG_L1,-32.98544134736175,4.500877857208252,54.476391553878784,4.500877857208252,54.476391553878784,1,True,4,scores with new features
LightGBMXT_BAG_L1,-35.87905943622523,7.386584997177124,77.2186508178711,7.386584997177124,77.2186508178711,1,True,3,scores with new features
CatBoost_BAG_L1,-35.98612160843292,0.21315884590148926,205.83023834228516,0.21315884590148926,205.83023834228516,1,True,6,scores with new features
ExtraTreesMSE_BAG_L1,-38.89577199128411,0.5582578182220459,5.564719200134277,0.5582578182220459,5.564719200134277,1,True,7,scores with new features
RandomForestMSE_BAG_L1,-39.16910479120037,0.5655171871185303,9.879487752914429,0.5655171871185303,9.879487752914429,1,True,5,scores with new features
NeuralNetFastAI_BAG_L1,-75.02090615783968,0.4888899326324463,44.19907069206238,0.4888899326324463,44.19907069206238,1,True,8,scores with new features
KNeighborsDist_BAG_L1,-84.12506123181602,0.1040341854095459,0.02414417266845703,0.1040341854095459,0.02414417266845703,1,True,2,scores with new features
KNeighborsUnif_BAG_L1,-101.54619908446061,0.10300803184509277,0.019240617752075195,0.10300803184509277,0.019240617752075195,1,True,1,scores with new features
